paper_id,compound_formula,substructure,field_T,Tc_K,n_T_pts,T_min,T_max,beta_T,SE_beta_T,rms,ok,physicality,source,paper_key,Tc_repaired,repair,beta_T_repaired,n_T_pts_repaired,lever_T,window_cut,T_max_repaired,reproduced,survives,beta_T_as_deposited
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,2.0,38.0,3,2.0,10.0,0.8002452797690169,0.1868066165824715,0.0084539350008807,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",0.8002452797690169,3,0.2134966752515905,False,10.0,True,True,1.5802076820164788
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,2.5,38.0,3,2.0,10.0,0.5790046669116689,0.0256462017025311,0.0011606193439378,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",0.5790046669116689,3,0.2134966752515905,False,10.0,True,True,1.140155894095941
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,3.0,38.0,3,2.0,10.0,0.781157223406747,0.3686362209858,0.0166826413953918,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",0.781157223406747,3,0.2134966752515905,False,10.0,True,True,1.5479213276009742
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,3.5,38.0,3,2.0,10.0,0.4380586383062951,0.1251748849794753,0.0056647914331384,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",0.4380586383062951,3,0.2134966752515905,False,10.0,True,True,0.8656793434508133
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,4.0,38.0,3,2.0,10.0,0.5658321775800035,0.1511251224308141,0.0068391727355375,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",0.5658321775800035,3,0.2134966752515905,False,10.0,True,True,1.117875359528379
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,4.5,38.0,3,2.0,10.0,0.8002452797690184,0.1868065458191469,0.0084539350008805,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",0.8002452797690184,3,0.2134966752515905,False,10.0,True,True,1.5802076660145052
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,5.0,38.0,3,2.0,10.0,1.0112546286777624,0.2061535877882565,0.009329484155886,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",1.0112546286777624,3,0.2134966752515905,False,10.0,True,True,1.996010139859252
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,5.5,38.0,3,2.0,10.0,1.3792499466806771,0.2124527174469667,0.0096145543448184,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",1.3792499466806771,3,0.2134966752515905,False,10.0,True,True,2.720363539452143
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,6.0,38.0,3,2.0,10.0,1.324175488669742,0.7370828796636789,0.0333567068305278,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",1.324175488669742,3,0.2134966752515905,False,10.0,True,True,2.627208038989431
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,6.5,38.0,3,2.0,10.0,1.3792499466806822,0.2124527197744464,0.0096145543448185,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",1.3792499466806822,3,0.2134966752515905,False,10.0,True,True,2.720363544980597
0903.0004v2.pdf,Ba(FeAs)2,iron_pnictide_122,7.0,38.0,3,2.0,10.0,1.5137679112708302,1.0689431857938712,0.0483750499601768,True,ok,v3.2.1_baseline,0903.0004v2.pdf,22.6,"Tc 38.0 -> 22.6, paper-reported",1.5137679112708302,3,0.2134966752515905,False,10.0,True,True,2.947893204285831
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,0.0,38.0,8,2.0,20.0,0.7834347605411011,0.0607123933694228,0.0144511557182747,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",0.7834347605411011,6,0.3881801713828813,True,15.0,True,True,1.7311942365412245
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,0.5,38.0,8,2.0,20.0,1.105701643188946,0.1085224593958024,0.0258312173909258,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",1.105701643188946,6,0.3881801713828813,True,15.0,True,True,2.500360332118514
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,1.0,38.0,8,2.0,20.0,1.1822689705304374,0.1219229102228434,0.0290208777151348,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",1.1822689705304374,6,0.3881801713828813,True,15.0,True,True,2.537067361576857
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,1.5,38.0,8,2.0,20.0,1.3539786467118808,0.1539076823548029,0.036634099180657,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",1.3539786467118808,6,0.3881801713828813,True,15.0,True,True,2.6575083084526927
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,2.0,38.0,8,2.0,20.0,1.4822666639956823,0.1883993881765714,0.0448440344157887,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",1.4822666639956823,6,0.3881801713828813,True,15.0,True,True,2.662426133716543
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,2.5,38.0,8,2.0,20.0,1.431474526836162,0.2413164709140881,0.0574397019812736,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",1.431474526836162,6,0.3881801713828813,True,15.0,True,True,2.4626130761390046
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,3.0,38.0,8,2.0,20.0,1.2842365176431434,0.2109704757539418,0.0502165518609131,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",1.2842365176431434,6,0.3881801713828813,True,15.0,True,True,2.206013182374101
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,3.5,38.0,8,2.0,20.0,1.147790817043278,0.1931155993402343,0.0459666177277262,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",1.147790817043278,6,0.3881801713828813,True,15.0,True,True,2.089248380295579
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,4.0,38.0,8,2.0,20.0,0.976729932826087,0.1455436572844867,0.034643240118645,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",0.976729932826087,6,0.3881801713828813,True,15.0,True,True,2.1331049929051296
0906.0444v1.pdf,Ba(FeAs)2,iron_pnictide_122,4.5,38.0,8,2.0,20.0,1.0128302314225297,0.2596916661835427,0.0618134868139613,True,ok,v3.2.1_baseline,0906.0444v1.pdf,24.0,"Tc 38.0 -> 24.0, paper-reported",1.0128302314225297,6,0.3881801713828813,True,15.0,True,True,2.682020835555133
