cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,Tc_repaired,Hc2_repaired,withdrawn,repair,reproduced,range_repaired,beta_repaired,n_pts_repaired,lever_H,clears_field_clause_x,passing_repaired,beta_protocol,beta_nofloor,has_lever,admitted,clears_field_clause_y,beta_as_deposited,beta_anchor_repaired,physicality_as_deposited
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,12.0,0.4951735148451809,0.053930907380449,5.764626466926182,0.026833972522974,0.0275305453505172,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.4951735148451809,4,0.9030899869919432,True,True,0.4951735148451809,0.4951735148451809,True,True,True,0.4951735149192295,0.4951735148451809,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,14.0,0.5905290818595167,0.0547673897200724,5.730662083288469,0.0272501727502513,0.0279575491659855,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.5905290818595167,4,0.9030899869919432,True,True,0.5905290818595167,0.5905290818595167,True,True,True,0.5905290818691102,0.5905290818595167,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,16.0,0.7400032499979288,0.0520709521465022,5.697954146705582,0.0259085278395549,0.0265810770277037,True,ok,elsevier_10.1016_j.mtphys.2022.100783,25.7,4.5,,,True,0.7777777777777778,0.7400032499979288,4,0.9030899869919432,True,True,0.7400032499979288,0.7400032499979288,True,True,True,0.7400032498568847,0.7400032499979288,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,4.2,0.2584991129740444,0.040298581558324,5.938873932801721,0.0200510446993078,0.0205715413818731,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.2584991129740444,4,0.9030899869919432,True,True,0.2584991129740444,0.2584991129740444,True,True,True,0.2584991142801328,0.2584991129740444,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,6.0,0.306508460644906,0.044608650772612,5.887064559451677,0.0221955714110408,0.0227717377227254,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.306508460644906,4,0.9030899869919432,True,True,0.306508460644906,0.306508460644906,True,True,True,0.3065084603671735,0.306508460644906,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,8.0,0.3775417225663746,0.0494584555997802,5.829125433590956,0.0246086502086876,0.0252474567058803,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.3775417225663746,4,0.9030899869919432,True,True,0.3775417225663746,0.3775417225663746,True,True,True,0.3775417228705511,0.3775417225663746,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,10.0,0.4279302736604867,0.0518834002608832,5.797653148949851,0.0258152090791993,0.0264853359525123,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.4279302736604867,4,0.9030899869919432,True,True,0.4279302736604867,0.4279302736604867,True,True,True,0.427930273986556,0.4279302736604867,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,12.0,0.4951735148451809,0.053930907380449,5.764626466926182,0.026833972522974,0.0275305453505172,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.4951735148451809,4,0.9030899869919432,True,True,0.4951735148451809,0.4951735148451809,True,True,True,0.4951735149192295,0.4951735148451809,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,14.0,0.5905290818595167,0.0547673897200724,5.730662083288469,0.0272501727502513,0.0279575491659855,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.5905290818595167,4,0.9030899869919432,True,True,0.5905290818595167,0.5905290818595167,True,True,True,0.5905290818691102,0.5905290818595167,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,16.0,0.7400032499979288,0.0520709521465022,5.697954146705582,0.0259085278395549,0.0265810770277037,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.7400032499979288,4,0.9030899869919432,True,True,0.7400032499979288,0.7400032499979288,True,True,True,0.7400032498568847,0.7400032499979288,ok
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",single_crystal,Single crystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,17.0,0.7889815020267964,0.0677411233921125,5.644766721618954,0.0337054098098563,0.0345803551616039,True,ok,elsevier_10.1016_j.mtphys.2022.100783,24.4,4.5,,,True,0.7777777777777778,0.7889815020267964,4,0.9030899869919432,True,True,0.7889815020267964,0.7889815020267964,True,True,True,0.7889815008385456,0.7889815020267964,ok
