framing,substructure,n_papers,beta_H_mean,beta_H_median,mean_chi_mean,max_chi_mean,var_chi_mean,ionic_fraction_mean,beta_T_mean,beta_T_median
Hc2,iron_chalcogenide_11,2,3.3668910450485745,3.3668910450485745,2.325,2.55,0.050624999999999934,0.049364908141301456,,
Hc2,iron_pnictide_1111,4,20.01559227688834,24.462854452397195,2.32385,3.98,1.42378101,0.6834589590796776,,
Hc2,iron_pnictide_122,3,5.0459257511828275,5.803576752277707,1.1117339544513456,1.9933333333333334,0.18481396157234156,0.26364476343334625,,
H_irr_or_empirical,conventional_A15,2,1.1104540616472258,1.1104540616472258,1.6900000000000002,1.96,0.024299999999999985,0.031880743083437246,,
H_irr_or_empirical,conventional_AlB2,20,2.3720291928628328,2.2135742369211506,1.7826666666666668,2.04,0.11442162222222223,0.11385206511840953,,
H_irr_or_empirical,cuprate_BSCCO,26,29.999983031840056,29.999999957413124,2.34894674556213,3.44,0.9710393945152482,0.470754863312692,,
H_irr_or_empirical,cuprate_HBCCO,4,24.31133069091777,25.806386352879002,2.555846153846154,3.44,1.31260274556213,0.6147789219821463,,
H_irr_or_empirical,cuprate_LSCO,5,5.831442100940093,5.49680351131837,2.415714285714286,3.44,1.4010244897959183,0.6519396214176937,,
H_irr_or_empirical,cuprate_RBCO,3,29.999999931417687,29.99999999189082,1.8499999999999999,3.44,1.2821999999999998,0.512796562979403,,
H_irr_or_empirical,iron_chalcogenide_11,56,8.386379149846258,2.1483043416192205,2.3607589285714283,2.5500000000000003,0.041366049107142804,0.04054974597321191,,
H_irr_or_empirical,iron_pnictide_1111,22,8.797973956535774,5.455845856709239,2.279286680761099,3.9063636363636376,1.4203644982290178,0.6848029043171941,,
H_irr_or_empirical,iron_pnictide_122,48,6.086373379231284,0.9512603333569805,1.2273610980099068,1.749375,0.1785121660700447,0.19125930661692825,,
Cohort_A_beta_T,conventional_AlB2,15,,,1.7966666666666669,2.0399999999999996,0.1184222222222222,0.12473186537840508,1.2221329767916846,1.139608468497162
Cohort_A_beta_T,cuprate_RBCO,6,,,2.7079999999999997,3.44,1.2575159999999999,0.7068225484767297,0.8611622856649715,0.8005551160867639
