cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,substructure
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,Ba0.64K0.36Fe2As2,20.0,9.0,60.0,Tier_1_direct_match_at_17.7K_term_Hc2,4,4,0.7777777777777778,T,18.0,2.3263800510964,0.5290282131393053,5.830458994213288,0.2632243537928502,0.2700572919109046,True,ok,elsevier_10.1016_j.phpro.2015.06.160,iron_pnictide_122
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,Ba0.64K0.36Fe2As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,16.0,2.356997636576607,0.5320008500357918,5.7620468986949165,0.2647034237392199,0.27157475653769,True,ok,elsevier_10.1016_j.phpro.2015.06.160,iron_pnictide_122
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,BaFe1.91Ni0.09As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,15.0,2.143757436440256,0.572008303103688,5.948469292927186,0.2846096161318366,0.2919976865884686,True,ok,elsevier_10.1016_j.phpro.2015.06.160,iron_pnictide_122
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,BaFe1.91Ni0.09As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,13.0,2.2161404136399403,0.5575967388814473,5.9243771080107335,0.277438967843782,0.2846409005101288,True,ok,elsevier_10.1016_j.phpro.2015.06.160,iron_pnictide_122
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,BaFe1.91Ni0.09As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,10.0,2.0685651407190835,0.3617696099409688,5.689456161912301,0.1800028227065276,0.184675445677739,True,ok,elsevier_10.1016_j.phpro.2015.06.160,iron_pnictide_122
B,elsevier_10.1016_j.phpro.2015.06.160,BaFe2As2,single_crystal,BaFe1.91Ni0.09As2,20.0,9.0,60.0,Tier_1_extrapolated_to_low_T_anchor_17.7K,4,4,0.7777777777777778,T,7.0,2.035454786765152,0.3126337983889819,5.491070414923148,0.1555547102096283,0.1595926931488044,True,ok,elsevier_10.1016_j.phpro.2015.06.160,iron_pnictide_122
B,elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,polycrystal,SmFeAsO0.8F0.2_10K,55.0,86.0,86.0,Tier_3_literature_default,29,29,0.5291231064646897,T,10.0,0.8191005304313276,0.2060972990964347,4.658014049652712,0.0333030256329699,0.1084598981703102,True,ok,elsevier_10.1016_j.physc.2009.05.098,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,polycrystal,SmFeAsO0.8F0.2_15K,55.0,86.0,86.0,Tier_3_literature_default,29,29,0.5312566673778535,T,15.0,0.999460911643853,0.1701675137624226,4.450568421116514,0.0275047323256062,0.0896378102139651,True,ok,elsevier_10.1016_j.physc.2009.05.098,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,polycrystal,SmFeAsO0.8F0.2_20K,55.0,86.0,86.0,Tier_3_literature_default,29,29,0.5312566673778538,T,20.0,1.7462413910278185,0.1695791806808605,4.332029182685061,0.0273867192496489,0.0891941260991528,True,ok,elsevier_10.1016_j.physc.2009.05.098,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,polycrystal,SmFeAsO0.8F0.2_25K,55.0,86.0,86.0,Tier_3_literature_default,29,29,0.5301898869212717,T,25.0,3.142558589513029,0.1725549037951167,4.222227291620287,0.0278769781623326,0.0908233616363736,True,ok,elsevier_10.1016_j.physc.2009.05.098,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,polycrystal,SmFeAsO0.8F0.2_2K,55.0,86.0,86.0,Tier_3_literature_default,29,29,0.5323234478344357,T,2.0,1.252188951600094,0.1293747409022235,5.413374506738484,0.0208990826669216,0.0680400899073568,True,ok,elsevier_10.1016_j.physc.2009.05.098,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,polycrystal,SmFeAsO0.8F0.2_30K,55.0,86.0,86.0,Tier_3_literature_default,28,28,0.5067207168764668,T,30.0,5.696707967132056,0.2340625340026829,4.051732902565627,0.0355469182500326,0.1134148655992964,True,ok,elsevier_10.1016_j.physc.2009.05.098,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,polycrystal,SmFeAsO0.8F0.2_35K,55.0,86.0,86.0,Tier_3_literature_default,22,22,0.3499039897589075,T,35.0,12.14492937777908,0.6946298873143557,3.829904640353724,0.0625422542002631,0.1786636438317262,True,ok,elsevier_10.1016_j.physc.2009.05.098,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,polycrystal,SmFeAsO0.8F0.2_40K,55.0,86.0,86.0,Tier_3_literature_default,10,10,0.1120119479411137,T,40.0,29.9999999999988,5.281986668618241,2.827679518860647,0.1576463447375918,0.2489574460983064,True,H_axis_applicability_bound,elsevier_10.1016_j.physc.2009.05.098,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2009.05.098,SmFeAsO0.8F0.2,polycrystal,SmFeAsO0.8F0.2_5K,55.0,86.0,86.0,Tier_3_literature_default,29,29,0.5301898869212717,T,5.0,1.2260348664879732,0.1861944989555156,5.087102319792649,0.0301409930134894,0.098121127059448,True,ok,elsevier_10.1016_j.physc.2009.05.098,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2009.11.051,Ba(Fe0.93Co0.07)2As2,single_crystal,irradiated,22.0,2.5,50.0,Tier_1_direct_match_at_2.0K_term_Hc2,3,3,0.72,T,2.0,0.0651094962464942,0.0154832756629069,5.998092638750618,0.0065634437480626,0.0043222520144328,True,ok,elsevier_10.1016_j.physc.2009.11.051,iron_pnictide_122
B,elsevier_10.1016_j.physc.2009.11.051,Ba(Fe0.93Co0.07)2As2,single_crystal,irradiated,22.0,4.5,50.0,Tier_1_direct_match_at_10.0K_term_Hc2,3,3,0.4,T,10.0,0.0928818220764652,0.0122156448075666,5.9038932528844725,0.0019629644336117,0.0011858861647556,True,ok,elsevier_10.1016_j.physc.2009.11.051,iron_pnictide_122
B,elsevier_10.1016_j.physc.2009.11.051,Ba(Fe0.93Co0.07)2As2,single_crystal,irradiated,22.0,5.0,50.0,Tier_1_direct_match_at_15.0K_term_Hc2,3,3,0.36,T,15.0,0.1445598873344608,0.017248061562061,5.7794699567730055,0.002417247581291,0.0014492975247043,True,ok,elsevier_10.1016_j.physc.2009.11.051,iron_pnictide_122
B,elsevier_10.1016_j.physc.2009.11.051,Ba(Fe0.93Co0.07)2As2,single_crystal,irradiated,22.0,5.5,50.0,Tier_1_direct_match_at_20.0K_term_Hc2,4,4,0.8727272727272727,T,20.0,0.043698835977242,0.0173751019530155,5.68625464551385,0.0092386059639623,0.0101414999455738,True,ok,elsevier_10.1016_j.physc.2009.11.051,iron_pnictide_122
B,elsevier_10.1016_j.physc.2009.11.051,Ba(Fe0.93Co0.07)2As2,single_crystal,unirradiated,22.0,2.5,50.0,Tier_1_direct_match_at_2.0K_term_Hc2,3,3,0.72,T,2.0,0.1129847552597909,0.0255496362773206,5.7752046164108775,0.0108306278353008,0.0071323389189435,True,ok,elsevier_10.1016_j.physc.2009.11.051,iron_pnictide_122
B,elsevier_10.1016_j.physc.2009.11.051,Ba(Fe0.93Co0.07)2As2,single_crystal,unirradiated,22.0,4.5,50.0,Tier_1_direct_match_at_10.0K_term_Hc2,3,3,0.4,T,10.0,0.1249765064977561,0.0161121571118119,5.478229462587759,0.0025891053528063,0.0015641568254694,True,ok,elsevier_10.1016_j.physc.2009.11.051,iron_pnictide_122
B,elsevier_10.1016_j.physc.2009.11.051,Ba(Fe0.93Co0.07)2As2,single_crystal,unirradiated,22.0,5.0,50.0,Tier_1_direct_match_at_15.0K_term_Hc2,3,3,0.36,T,15.0,0.2209102241089527,0.0251836905782842,5.303129879089673,0.0035293938596897,0.002116100949784,True,ok,elsevier_10.1016_j.physc.2009.11.051,iron_pnictide_122
B,elsevier_10.1016_j.physc.2009.11.051,Ba(Fe0.93Co0.07)2As2,single_crystal,unirradiated,22.0,5.5,50.0,Tier_1_direct_match_at_20.0K_term_Hc2,4,4,0.8727272727272727,T,20.0,0.0768548993622197,0.0296110315349868,5.154600124302224,0.0157446358172723,0.017283367632173,True,ok,elsevier_10.1016_j.physc.2009.11.051,iron_pnictide_122
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_10K,51.0,21.4443,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,62,62,0.6636,T,10.0,0.3727,0.1949,5.5476,0.0287092894518592,0.1654,True,ok,1002.0208v2.pdf,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_15K,51.0,16.8715,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,55,55,0.8312,T,15.0,0.2499,0.0974,5.2521,0.0276508695594497,0.14835,True,ok,1002.0208v2.pdf,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_20K,51.0,12.76,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,52,56,0.983,T,20.0,0.1607,0.0436,4.9645,0.023683585339087,0.10336,True,ok,1002.0208v2.pdf,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_25K,51.0,9.1331,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,51,65,0.9758,T,25.0,0.099,0.061,4.7031,0.0282828616734218,0.13734,True,ok,1002.0208v2.pdf,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_30K,51.0,6.0207,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,60,68,0.9987,T,30.0,0.3412,0.0487,4.4362,0.0298678272723394,0.17614,True,ok,1002.0208v2.pdf,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2011.02.004,PrFeAsO0.6F0.12,polycrystal,PrFeAsO0.6F0.12_7K,51.0,24.4013,120.0,Tier_1_paper_Hirr_arXiv_1002.0208_Eq5_Tc_48K,49,49,0.5984,T,7.0,1.0151,0.2703,5.8434,0.0343070324243684,0.18398,True,ok,1002.0208v2.pdf,iron_pnictide_1111
B,elsevier_10.1016_j.physc.2013.04.060,MgB(2-x)Cx_x_0_0386,wire,MgB(2-x)Cx_x_0_0386_4_2K,39.0,10.5,15.5,Tier_1_direct_match_at_4.2K_term_H_irr_Birr,7,7,0.5720645520311632,T,4.2,2.353999706812804,0.1680707748165542,5.563546710518575,0.0603681948596982,0.0658246440983831,True,ok,elsevier_10.1016_j.physc.2013.04.060,conventional_AlB2
B,elsevier_10.1016_j.physc.2013.04.060,MgB(2-x)Cx_x_0_1202,wire,MgB(2-x)Cx_x_0_1202_4_2K,39.0,10.5,15.5,Tier_1_direct_match_at_4.2K_term_H_irr_Birr,7,7,0.5709515859766279,T,4.2,1.4750829895482016,0.1211419828590063,5.408100546423671,0.0435558530796958,0.0474865050314233,True,ok,elsevier_10.1016_j.physc.2013.04.060,conventional_AlB2
B,elsevier_10.1016_j.physc.2013.04.060,MgB2,wire,MgB2_4_2K,39.0,10.5,15.5,Tier_1_direct_match_at_4.2K_term_H_irr_Birr,5,5,0.3817473567056206,T,4.2,3.7999293071337386,0.2469651348649325,5.6148702752653215,0.1031082192361673,0.0628140832133399,True,ok,elsevier_10.1016_j.physc.2013.04.060,conventional_AlB2
B,elsevier_10.1016_j.physc.2013.04.060,MgB2,wire,Undoped_MgB2_10K,39.0,11.9,15.5,Tier_1_direct_match_at_10.0K_term_Birr,7,7,0.5047600435523046,T,10.0,4.779311736113043,0.1428091414130274,5.783351519028241,0.0524409511795588,0.0512768881885401,True,ok,elsevier_10.1016_j.physc.2013.04.060,conventional_AlB2
B,elsevier_10.1016_j.physc.2013.04.060,MgB2_Ag_doped,wire,Ag_Doped_MgB2_10K,39.0,11.9,15.5,Tier_1_direct_match_at_10.0K_term_Birr,9,9,0.6745023590831682,T,10.0,2.0905650082158456,0.1510446510524187,5.29332971608345,0.0849947712227935,0.1225923718564929,True,ok,elsevier_10.1016_j.physc.2013.04.060,conventional_AlB2
B,elsevier_10.1016_j.physc.2013.04.060,MgB2_SiC_doped,wire,SiC_Doped_MgB2_10K,39.0,11.9,15.5,Tier_1_direct_match_at_10.0K_term_Birr,10,10,0.757140065328457,T,10.0,1.5623445821380608,0.0960880617978764,5.288565496827169,0.0514158119020786,0.0854143668160137,True,ok,elsevier_10.1016_j.physc.2013.04.060,conventional_AlB2
B,elsevier_10.1016_j.physc.2013.04.060,MgB2_TiC_doped,wire,TiC_Doped_MgB2_10K,39.0,11.9,15.5,Tier_1_direct_match_at_10.0K_term_Birr,8,8,0.5449621709148778,T,10.0,3.938175873961849,0.2767956253725114,5.689373527422514,0.1234274424591194,0.1426991608731628,True,ok,elsevier_10.1016_j.physc.2013.04.060,conventional_AlB2
B,elsevier_10.1016_j.physc.2013.04.060,MgB2_ZrB2_doped,wire,ZrB2_Doped_MgB2_10K,39.0,11.9,15.5,Tier_1_direct_match_at_10.0K_term_Birr,11,11,0.8397777715737459,T,10.0,2.558076334123752,0.1700782272269349,5.309614205834884,0.0869280289592389,0.1635275098127915,True,ok,elsevier_10.1016_j.physc.2013.04.060,conventional_AlB2
B,springer_10.1038_s41598-025-95932-9,Bi2Sr2CaCu2O8,thin_film,Sample A,85.0,100.0,100.0,Tier_3_literature_default,10,10,0.009,T,45.0,29.99999999986339,24.931905746862512,6.376672548798872,0.0674501228693665,0.088452405991321,True,H_axis_applicability_bound,springer_10.1038_s41598-025-95932-9,cuprate_BSCCO
B,springer_10.1038_s41598-025-95932-9,Bi2Sr2CaCu2O8,thin_film,Sample A,85.0,100.0,100.0,Tier_3_literature_default,10,10,0.009,T,50.0,29.999999999992404,31.83305685829111,6.302723039814964,0.0861203198656267,0.112935986987768,True,H_axis_applicability_bound,springer_10.1038_s41598-025-95932-9,cuprate_BSCCO
B,springer_10.1038_s41598-025-95932-9,Bi2Sr2CaCu2O8,thin_film,Sample A,85.0,100.0,100.0,Tier_3_literature_default,10,10,0.009,T,55.0,29.999994840934697,42.54640769440974,6.210871396761171,0.1151039238668407,0.1509443578683825,True,H_axis_applicability_bound,springer_10.1038_s41598-025-95932-9,cuprate_BSCCO
B,springer_10.1038_s41598-025-95932-9,Bi2Sr2CaCu2O8,thin_film,Sample A,85.0,100.0,100.0,Tier_3_literature_default,10,10,0.009,T,60.0,29.999999384637853,62.705987773995766,6.085738807367086,0.1696431200252327,0.2224656048087871,True,H_axis_applicability_bound,springer_10.1038_s41598-025-95932-9,cuprate_BSCCO
B,springer_10.1038_s41598-025-95932-9,Bi2Sr2CaCu2O8,thin_film,Sample A,85.0,100.0,100.0,Tier_3_literature_default,10,10,0.009,T,65.0,29.99999994358029,100.64030683825592,5.898814015877486,0.2722696455647556,0.3570474099846529,True,H_axis_applicability_bound,springer_10.1038_s41598-025-95932-9,cuprate_BSCCO
B,springer_10.1038_s41598-025-95932-9,Bi2Sr2CaCu2O8,thin_film,Sample A,85.0,100.0,100.0,Tier_3_literature_default,10,10,0.009,T,70.0,29.99999998915098,158.65553519846563,5.612287628404919,0.4292224561321358,0.5628713130786486,True,H_axis_applicability_bound,springer_10.1038_s41598-025-95932-9,cuprate_BSCCO
