cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality,paper_key,substructure
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N2,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.999999999970512,24.337731615684127,3.668840201310722,0.095856642542913,0.1190683629548788,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,cuprate_BSCCO
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N2,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,30.0,35.320456361676946,3.572933871028417,0.1391132300500049,0.1727995436692883,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,cuprate_BSCCO
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N3,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.9999999997611,21.094404392912423,3.635077379711335,0.0830824693918669,0.1032009160846883,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,cuprate_BSCCO
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N3,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,29.999999999999638,36.75996597011376,3.5268793405347547,0.1447828773582497,0.1798420909552827,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,cuprate_BSCCO
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N4,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.999999999833648,20.19905452359546,3.795952275763076,0.0795560383726456,0.098820557188596,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,cuprate_BSCCO
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N4,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,29.99999999999787,29.39822756996729,3.7083120050128895,0.1157879114380241,0.1438259915454515,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2013.04.183,cuprate_BSCCO
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_10K,39.0,5.0,15.5,Tier_1_direct_match_at_10.0K_term_H_irr_Birr,58,57,0.9375000000000002,T,10.0,1.7913601054743344,0.0842458389216258,5.48501191031671,0.0368156996939851,0.1952565445271811,True,ok,elsevier_10.1016_j.jallcom.2023.170146,conventional_AlB2
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_15K,39.0,4.0,15.5,Tier_1_direct_match_at_15.0K_term_H_irr_Birr,51,51,0.9209280303030304,T,15.0,1.7765614999947452,0.0729695232078468,5.503791135239047,0.0290536201991617,0.1481867431373292,True,ok,elsevier_10.1016_j.jallcom.2023.170146,conventional_AlB2
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_20K,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,21,21,0.9217171717171716,T,20.0,1.4734698228805705,0.1016588122548142,5.443860417495315,0.0429735868097675,0.1377262406335595,True,ok,elsevier_10.1016_j.jallcom.2023.170146,conventional_AlB2
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_25K,39.0,2.5,15.5,Tier_1_linear_interp_20.0K_to_30.0K,17,17,0.8863636363636364,T,25.0,1.9289744645699531,0.1108747441111336,5.338596491448894,0.0414309506443505,0.1175907995898172,True,ok,elsevier_10.1016_j.jallcom.2023.170146,conventional_AlB2
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_30K,39.0,2.0,15.5,Tier_1_direct_match_at_30.0K_term_H_irr_Birr,13,13,0.7907196969696971,T,30.0,3.185977073396232,0.0892326811104013,5.1863788403346,0.0272855225219261,0.0621990682272343,True,ok,elsevier_10.1016_j.jallcom.2023.170146,conventional_AlB2
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_35K,39.0,1.5,15.5,Tier_1_direct_match_at_35.0K_term_H_irr_Birr,17,17,0.9280303030302972,T,35.0,1.2332200169685257,0.7408706510074851,3.758231361108494,0.3577398865199749,0.9781424086856998,True,ok,elsevier_10.1016_j.jallcom.2023.170146,conventional_AlB2
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,single_crystal,LaFeAsO_2K,26.0,9.2,86.0,Tier_1_direct_match_at_2.0K_term_both_Hc2_and_H_irr,13,13,0.6512817462677691,T,2.0,3.1626650680656425,0.1892680333245923,6.324598106936781,0.0451692379688394,0.088242835242476,True,ok,elsevier_10.1016_j.jallcom.2023.170384,iron_pnictide_1111
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,single_crystal,LaFeAsO_5K,26.0,8.0,86.0,Tier_1_direct_match_at_5.0K_term_both_Hc2_and_H_irr,7,7,0.3744870041039671,T,5.0,10.692565346999295,1.3416066726189408,6.222245789063345,0.156849789968264,0.2034388773623215,True,ok,elsevier_10.1016_j.jallcom.2023.170384,iron_pnictide_1111
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,single_crystal,LaFeAsO_8K,26.0,5.75,86.0,Tier_1_linear_interp_7.0K_to_9.0K,4,4,0.2597989650865402,T,8.0,19.177838830723264,0.8212478222945723,5.946760813833423,0.0656233047388392,0.0565955619363309,True,H_axis_applicability_bound,elsevier_10.1016_j.jallcom.2023.170384,iron_pnictide_1111
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co0,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.99999997124596,131.9744336375446,6.138417126459371,0.2237556556959613,0.1964585828169923,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,cuprate_BSCCO
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co0,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.025,T,20.0,29.99999900817464,15.942133148778616,6.257064583606886,0.1690174203646679,0.1209705291145626,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,cuprate_BSCCO
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co0,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.025,T,50.0,29.999997562355304,6.323254101544617,6.674775503394321,0.1502595179139861,0.0495008527254604,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,cuprate_BSCCO
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co1,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.999998288737597,69.76538118875513,6.321397414672149,0.1182834999854689,0.1038535545619128,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,cuprate_BSCCO
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co2,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.9999998885131,109.24805824308646,6.361741803281722,0.18522426319662,0.1626278735161473,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,cuprate_BSCCO
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co3,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.99999941123929,82.46955393353959,6.462085134438504,0.1398227448580373,0.1227651283897966,True,H_axis_applicability_bound,elsevier_10.1016_j.jpcs.2026.113652,cuprate_BSCCO
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X01,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.776516435926349,0.3674610005062925,4.819420388647993,0.0979876697420954,0.1072389269307782,True,ok,elsevier_10.1016_j.matchemphys.2023.128348,conventional_AlB2
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X02,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.609771096116281,0.159197652837177,5.0351081384580825,0.0424518716037194,0.0464598570718574,True,ok,elsevier_10.1016_j.matchemphys.2023.128348,conventional_AlB2
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X03,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.518592769878972,0.1740100347841891,5.144504844737414,0.0464017628514274,0.0507826672693302,True,ok,elsevier_10.1016_j.matchemphys.2023.128348,conventional_AlB2
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X04,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.336583465626456,0.1187855541494855,5.155627541325739,0.0316755244427878,0.034666088902995,True,ok,elsevier_10.1016_j.matchemphys.2023.128348,conventional_AlB2
B,elsevier_10.1016_j.matpr.2019.05.078,MgB2,wire,mono-5K,39.0,2.5,15.5,Tier_1_direct_match_at_5.0K_term_Hc2,3,3,0.6799999999999999,T,5.0,1.5876771649881465,0.7429272006271876,5.883492349182975,0.315447656675639,0.202604503942605,True,ok,elsevier_10.1016_j.matpr.2019.05.078,conventional_AlB2
B,elsevier_10.1016_j.matpr.2019.05.078,MgB2,wire,multi-5K,39.0,2.5,15.5,Tier_1_direct_match_at_5.0K_term_Hc2,3,3,0.6799999999999999,T,5.0,1.6643944033887998,0.74211407452907,5.791065446039283,0.3151024047677053,0.2023827684456566,True,ok,elsevier_10.1016_j.matpr.2019.05.078,conventional_AlB2
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,4.2,0.3065084603671735,0.044608650772612,5.887064559451677,0.0221955714110408,0.0227717377227254,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,6.0,0.3381881764791785,0.0469880332045984,5.858914894613055,0.0233794619484157,0.023986359622168,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
B,elsevier_10.1016_j.mtphys.2022.100783,"Ba(Fe,Co)2As2",polycrystal,Polycrystal,22.0,4.5,50.0,Tier_1_extrapolated_to_low_T_anchor_18.0K,4,4,0.7777777777777778,T,8.0,0.3775417228705511,0.0494584555997802,5.829125433590956,0.0246086502086876,0.0252474567058803,True,ok,elsevier_10.1016_j.mtphys.2022.100783,iron_pnictide_122
