compound_formula,substructure,Tc_anchor_K,Hc2_T_anchor,T_K,H_T,withheld_reduced_temperature,refusal_flag,withheld_log_Jc,withheld_log_Jc_lower_95,withheld_log_Jc_upper_95
B2Cu0.018Mg0.982,conventional_AlB2,37.8,15.5,29.106,5.0,0.7700000000000001,T_above_validated_reduced_temperature,4.287796564730518,3.6562877910806586,4.879676138681235
B2Cu0.03Mg0.97,conventional_AlB2,37.58,15.5,28.9366,5.0,0.77,T_above_validated_reduced_temperature,4.289190919626191,3.673629079246935,4.886731733825129
B2Cu0.05Mg0.95,conventional_AlB2,37.75,15.5,29.0675,5.0,0.77,T_above_validated_reduced_temperature,4.293057262584432,3.68507191523773,4.892337485460521
B2Cu0.1Mg0.9,conventional_AlB2,38.6,15.5,29.722,5.0,0.77,T_above_validated_reduced_temperature,4.288674810044218,3.7124738860777455,4.877816366982129
B2Cu0.2Mg0.8,conventional_AlB2,38.6,15.5,29.722,5.0,0.77,T_above_validated_reduced_temperature,4.288072790098537,3.728347350567915,4.889702651531472
B2Fe0.003Mg0.997,conventional_AlB2,37.8,15.5,29.106,5.0,0.7700000000000001,T_above_validated_reduced_temperature,4.29717336265847,3.722303382761767,4.889197664324265
B2Fe0.006Mg0.994,conventional_AlB2,35.6,15.5,27.412000000000003,5.0,0.77,T_above_validated_reduced_temperature,4.303531147409693,3.72522404665017,4.887681752600584
B2Fe0.012Mg0.988,conventional_AlB2,33.45,15.5,25.756500000000003,5.0,0.77,T_above_validated_reduced_temperature,4.289796185278469,3.680969642285471,4.883877925017583
B2Fe0.01Mg0.99,conventional_AlB2,34.7,15.5,26.719,5.0,0.77,T_above_validated_reduced_temperature,4.302219847794967,3.641178661960058,4.891647839874698
B2Fe0.03Mg0.97,conventional_AlB2,32.96666667,15.5,25.384333335900003,5.0,0.77,T_above_validated_reduced_temperature,4.299419713622108,3.641709562730932,4.900987725699816
B2Fe0.05Mg0.95,conventional_AlB2,29.5,15.5,22.715,5.0,0.77,T_above_validated_reduced_temperature,4.307324460160552,3.756345393136455,4.893336985725912
B2Fe0.1Mg0.9,conventional_AlB2,34.0,15.5,26.18,5.0,0.77,T_above_validated_reduced_temperature,4.2940845383809965,3.688260945745625,4.891073645980663
B2Ir0.02Mg0.98,conventional_AlB2,33.2,15.5,25.564000000000004,5.0,0.77,T_above_validated_reduced_temperature,4.30436232959682,3.7430833012318767,4.893572418850814
B2Ir0.06Mg0.94,conventional_AlB2,28.1,15.5,20.0,5.0,0.7117437722419928,T_above_validated_reduced_temperature,4.430315395638914,3.918608245604189,4.936706757131295
B2Ir0.06Mg0.94,conventional_AlB2,28.1,15.5,21.637,5.0,0.77,T_above_validated_reduced_temperature,4.312748147554222,3.7559197338317927,4.889403369246572
B2Ir0.12Mg0.88,conventional_AlB2,18.0,15.5,13.86,5.0,0.77,T_above_validated_reduced_temperature,4.363387546985154,3.7931037358504,4.931851612090483
B2Li0.05Mg0.95,conventional_AlB2,38.25,15.5,29.4525,5.0,0.77,T_above_validated_reduced_temperature,4.292073742988291,3.642188606169508,4.899795378578908
B2Li0.07Mg0.93,conventional_AlB2,37.8,15.5,29.106,5.0,0.7700000000000001,T_above_validated_reduced_temperature,4.287211162363871,3.721044537390659,4.889909263843278
B2Li0.08Mg0.92,conventional_AlB2,38.0,15.5,29.26,5.0,0.77,T_above_validated_reduced_temperature,4.286506381182952,3.672125785550613,4.887287634846547
B2Li0.11Mg0.89,conventional_AlB2,35.3,15.5,27.181,5.0,0.7700000000000001,T_above_validated_reduced_temperature,4.3000776283042175,3.7018006719366254,4.901333871862773
B2Li0.15Mg0.85,conventional_AlB2,36.6,15.5,28.182,5.0,0.7699999999999999,T_above_validated_reduced_temperature,4.2889622939205445,3.715633941857568,4.883093875427361
B2Li0.1Mg0.9,conventional_AlB2,36.91666667,15.5,28.4258333359,5.0,0.77,T_above_validated_reduced_temperature,4.293857277933407,3.6440257444460857,4.877633074394505
B2Li0.2Mg0.8,conventional_AlB2,34.0,15.5,26.18,5.0,0.77,T_above_validated_reduced_temperature,4.293628255894669,3.6902743456481337,4.893781929388908
B2Mg0.1Nb0.9,conventional_AlB2,4.5,15.5,4.2,5.0,0.9333333333333332,T_above_validated_reduced_temperature,4.981543337214,4.655306448540895,5.266119204051221
B2Mg0.1Nb0.9,conventional_AlB2,4.5,15.5,3.465,5.0,0.77,T_above_validated_reduced_temperature,5.628205612401301,5.0006788648823,6.167209872423871
