paper,T,passing,clears_field_clause,hc2,top,span,hc2_over_top,deposited_ratio,recomputed_ratio,gate_floor,reproduced
elsevier_10.1016_j.jallcom.2023.170146,35.0,True,True,1.5,1.9223484848484853,1.9034090909090915,0.7802955665024629,0.9280303030302972,0.9280303030302971,0.2727272727272719,True
elsevier_10.1016_j.jallcom.2023.170384,2.0,True,True,9.2,6.000000000000001,5.991792065663476,1.533333333333333,0.6512817462677691,0.6512817462677691,0.4958677685950416,True
elsevier_10.1016_j.jallcom.2023.170384,5.0,True,True,8.0,2.995896032831737,2.995896032831737,2.6703196347031968,0.3744870041039671,0.3744870041039671,0.4918032786885244,True
elsevier_10.1016_j.jallcom.2023.170384,8.0,False,False,5.75,1.4938440492476064,1.4938440492476064,3.8491300366300356,0.2597989650865402,0.25979896508654027,0.4999999999999999,True
elsevier_10.1016_j.jpcs.2026.113652,5.0,False,False,100.0,0.6,0.5,166.66666666666669,0.005,0.005,0.33333333333333337,True
elsevier_10.1016_j.jpcs.2026.113652,20.0,False,False,100.0,3.5,2.5,28.571428571428573,0.025,0.025,0.25,True
elsevier_10.1016_j.jpcs.2026.113652,50.0,False,False,100.0,6.5,2.5,15.384615384615385,0.025,0.025,0.1,True
elsevier_10.1016_j.jpcs.2026.113652,5.0,False,False,100.0,0.6,0.5,166.66666666666669,0.005,0.005,0.33333333333333337,True
elsevier_10.1016_j.jpcs.2026.113652,5.0,False,False,100.0,0.6,0.5,166.66666666666669,0.005,0.005,0.33333333333333337,True
elsevier_10.1016_j.jpcs.2026.113652,5.0,False,False,100.0,0.6,0.5,166.66666666666669,0.005,0.005,0.33333333333333337,True
elsevier_10.1016_j.matchemphys.2023.128348,20.0,True,True,3.0,3.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.5,True
elsevier_10.1016_j.matchemphys.2023.128348,20.0,True,True,3.0,3.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.5,True
elsevier_10.1016_j.matchemphys.2023.128348,20.0,True,True,3.0,3.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.5,True
elsevier_10.1016_j.matchemphys.2023.128348,20.0,True,True,3.0,3.0,3.0,1.0,0.6666666666666666,0.6666666666666666,0.5,True
elsevier_10.1016_j.matpr.2019.05.078,5.0,True,True,2.5,4.0,3.7,0.625,0.6799999999999999,0.6799999999999999,0.35,True
elsevier_10.1016_j.matpr.2019.05.078,5.0,True,True,2.5,4.0,3.7,0.625,0.6799999999999999,0.6799999999999999,0.35,True
elsevier_10.1016_j.mtphys.2022.100783,4.2,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,6.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,8.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,10.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,12.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,14.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,16.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,21.0,True,True,7.0,6.0,5.5,1.1666666666666667,0.7857142857142857,0.7857142857142857,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,4.2,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,6.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,8.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,10.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,12.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,14.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,16.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,17.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,18.0,True,True,4.5,6.0,5.5,0.75,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,19.0,True,True,5.0,6.0,5.5,0.8333333333333334,0.7,0.7,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,20.0,True,True,6.0,6.0,5.5,1.0,0.5833333333333334,0.5833333333333334,0.25,True
elsevier_10.1016_j.mtphys.2022.100783,21.0,True,True,7.0,6.0,5.5,1.1666666666666667,0.7857142857142857,0.7857142857142857,0.25,True
elsevier_10.1016_j.phpro.2012.03.421,2.0,False,False,15.3,0.5,0.5,30.6,0.0326797385620915,0.032679738562091505,0.39999999999999997,True
elsevier_10.1016_j.phpro.2015.06.160,18.0,True,True,9.0,10.0,9.0,0.9,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.phpro.2015.06.160,16.0,True,True,9.0,10.0,9.0,0.9,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.phpro.2015.06.160,15.0,True,True,9.0,10.0,9.0,0.9,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.phpro.2015.06.160,13.0,True,True,9.0,10.0,9.0,0.9,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.phpro.2015.06.160,10.0,True,True,9.0,10.0,9.0,0.9,0.7777777777777778,0.7777777777777778,0.25,True
elsevier_10.1016_j.phpro.2015.06.160,7.0,True,True,9.0,10.0,9.0,0.9,0.7777777777777778,0.7777777777777778,0.25,True
