n_kept,beta,n_used,lever_dex,field_ratio,in_temperature_window,enough_points,has_lever,clears_field_clause,admitted,beta_nofloor,beta_old_rule,n_old_rule,paper,T,was_passing
4,0.7400032499979288,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.7400032499979288,0.7400032499979288,4,elsevier_10.1016_j.mtphys.2022.100783,16.0,True
4,0.7889815020267964,4,0.9030899869919433,0.7777777777777778,True,True,True,True,True,0.7889815020267964,0.7889815020267964,4,elsevier_10.1016_j.mtphys.2022.100783,17.0,True
4,0.8608719124165966,4,0.9030899869919433,0.7777777777777778,False,True,True,True,False,0.8608719124165966,0.8608719124165966,4,elsevier_10.1016_j.mtphys.2022.100783,18.0,True
4,1.377404847794821,4,0.6532125137753437,0.7,False,True,True,True,False,1.377404847794821,1.377404847794821,4,elsevier_10.1016_j.mtphys.2022.100783,19.0,True
4,2.5994078689337057,4,0.4393326938302626,0.5833333333333334,False,True,True,True,False,2.5994078689337057,2.5994078689337057,4,elsevier_10.1016_j.mtphys.2022.100783,20.0,True
5,2.0318848838505623,5,0.8129133566428555,0.7857142857142857,False,True,True,True,False,2.0318848838505623,2.0318848838505623,5,elsevier_10.1016_j.mtphys.2022.100783,21.0,True
6,19.05677872426229,6,0.014429715422641414,0.032679738562091505,True,True,False,False,False,19.05677872426229,19.05677872426229,6,elsevier_10.1016_j.phpro.2012.03.421,2.0,False
4,19.54261323052358,4,0.11539341870206957,0.22580645161290322,False,True,False,False,False,19.54261323052358,20.377558392251103,5,elsevier_10.1016_j.phpro.2015.06.160,18.0,True
4,19.795756580175837,4,0.11539341870206957,0.22580645161290322,True,True,False,False,False,19.795756580175837,20.58032402058575,5,elsevier_10.1016_j.phpro.2015.06.160,16.0,True
4,14.666839472451283,4,0.14266750356873156,0.2692307692307692,False,True,False,False,False,14.666839472451283,15.006073116193521,5,elsevier_10.1016_j.phpro.2015.06.160,15.0,True
4,15.102380892093388,4,0.14266750356873156,0.2692307692307692,True,True,False,False,False,15.102380892093388,15.318186443638059,5,elsevier_10.1016_j.phpro.2015.06.160,13.0,True
4,13.902047570481328,4,0.14266750356873156,0.2692307692307692,True,True,False,False,False,13.902047570481328,14.442028174048358,5,elsevier_10.1016_j.phpro.2015.06.160,10.0,True
4,13.610041267440698,4,0.14266750356873156,0.2692307692307692,True,True,False,False,False,13.610041267440698,14.064228085482052,5,elsevier_10.1016_j.phpro.2015.06.160,7.0,True
62,0.37269914288170636,62,0.47334518669956294,0.6635871761390644,True,True,True,True,True,0.37269914288170636,0.37269914288170636,62,1002.0208v2.pdf,10.0,True
