cohort,fits,papers,families,eta_sq,perm_p,median_beta
"FIELD AXIS, deposited passing",94.0,16,4.0,0.05496793056841131,0.9265536723163842,1.3985394173129886
"FIELD AXIS, admitted under the stated protocol",52.0,12,4.0,0.0383930006048282,0.9777011149442528,1.4587037665847662
"TEMPERATURE AXIS, deposited",249.0,19,3.0,0.4086495564910287,0.01239938003099845,1.455626723749111
"TEMPERATURE AXIS, repaired Tc",246.0,17,3.0,0.5239901961407548,0.007049647517624119,1.2682401639835372
"MATCHED temperature axis, Tc repair (before)",,17,,0.4355963096176643,0.01584920753962302,
"MATCHED temperature axis, Tc repair (after)",,17,,0.5239901961407548,0.007049647517624119,
"MATCHED field axis, repair and protocol (before)",,12,,0.031118813303832232,0.9878006099695015,
"MATCHED field axis, repair and protocol (after)",,12,,0.0383930006048282,0.9777011149442528,
