compound_formula,substructure,Tc_anchor_K,T_K,H_T,predicted_log_Jc,refusal_flag,emitted_by_dispatch,exclusion,criterion
B2Nb0.9,conventional_AlB2,3.64,20.0,0.1,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 3.64 K < 4.2 K grid floor
B2Nb0.9,conventional_AlB2,3.64,20.0,1.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 3.64 K < 4.2 K grid floor
B2Nb0.9,conventional_AlB2,3.64,20.0,5.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 3.64 K < 4.2 K grid floor
B2Nb0.9,conventional_AlB2,3.64,2.8028,0.1,14.853201201835986,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 3.64 K < 4.2 K grid floor
B2Nb0.9,conventional_AlB2,3.64,2.8028,1.0,14.853201201835986,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 3.64 K < 4.2 K grid floor
B2Nb0.9,conventional_AlB2,3.64,2.8028,5.0,14.853201201835986,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 3.64 K < 4.2 K grid floor
B2Ru3Th1,conventional_AlB2,1.79,4.2,0.1,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.79 K < 4.2 K grid floor
B2Ru3Th1,conventional_AlB2,1.79,4.2,1.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.79 K < 4.2 K grid floor
B2Ru3Th1,conventional_AlB2,1.79,4.2,5.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.79 K < 4.2 K grid floor
B2Ru3Th1,conventional_AlB2,1.79,20.0,0.1,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.79 K < 4.2 K grid floor
B2Ru3Th1,conventional_AlB2,1.79,20.0,1.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.79 K < 4.2 K grid floor
B2Ru3Th1,conventional_AlB2,1.79,20.0,5.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.79 K < 4.2 K grid floor
B2Ru3Th1,conventional_AlB2,1.79,1.3783,0.1,14.853201201835986,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.79 K < 4.2 K grid floor
B2Ru3Th1,conventional_AlB2,1.79,1.3783,1.0,14.853201201835986,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.79 K < 4.2 K grid floor
B2Ru3Th1,conventional_AlB2,1.79,1.3783,5.0,14.853201201835986,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 1.79 K < 4.2 K grid floor
B2Zr1,conventional_AlB2,2.75,4.2,0.1,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 2.75 K < 4.2 K grid floor
B2Zr1,conventional_AlB2,2.75,4.2,1.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 2.75 K < 4.2 K grid floor
B2Zr1,conventional_AlB2,2.75,4.2,5.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 2.75 K < 4.2 K grid floor
B2Zr1,conventional_AlB2,2.75,20.0,0.1,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 2.75 K < 4.2 K grid floor
B2Zr1,conventional_AlB2,2.75,20.0,1.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 2.75 K < 4.2 K grid floor
B2Zr1,conventional_AlB2,2.75,20.0,5.0,,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 2.75 K < 4.2 K grid floor
B2Zr1,conventional_AlB2,2.75,2.1175,0.1,14.86769234464299,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 2.75 K < 4.2 K grid floor
B2Zr1,conventional_AlB2,2.75,2.1175,1.0,14.86769234464299,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 2.75 K < 4.2 K grid floor
B2Zr1,conventional_AlB2,2.75,2.1175,5.0,14.86769234464299,Hc2_unavailable,False,record_below_grid_floor,Tc anchor 2.75 K < 4.2 K grid floor
