cohort,n_compounds,n_points,mae,ci_lo,ci_hi
"K=1, all four",4,46,1.5917612293495695,1.0649542736527673,2.2966647676761984
"K=1, three monotonic",3,33,1.2668163303873126,0.9412348766362366,1.578506734545147
"K=3, all four",4,48,0.9265604111908685,0.5031562325297965,1.468070205295472
"K=3, three monotonic",3,36,0.6944188704735447,0.4245439761977824,1.0165500008655137
