kind,route,source,stem,n_isotherms_raw,resid_3,resid_5,resid_9,n_isotherms,sigfigs,rounding_floor,over_floor
trace,pixel,matchemphys_2023_128348_fig5,matchemphys_2023_128348_fig5,1,,,,,,,
trace,pixel,matpr_2019_05_078_fig2a,matpr_2019_05_078_fig2a,1,,,,,,,
trace,pixel,mtphys_2022_100783_fig6a,mtphys_2022_100783_fig6a,1,,,,,,,
trace,pixel,mtphys_2022_100783_fig6b,mtphys_2022_100783_fig6b,1,,,,,,,
trace,pixel,phpro_2015_06_160_fig3L,phpro_2015_06_160_fig3L,6,0.39686,0.32193,0.29208,6.0,8.0,0.0,
trace,pixel,physc_2009_11_051_fig3,physc_2009_11_051_fig3,4,0.16776,0.13558,0.12122,4.0,9.0,0.0,
trace,pixel,physc_2010_05_048_fig3,physc_2010_05_048_fig3,8,0.33121,0.26933,0.23392,8.0,8.0,0.0,
trace,pixel,physc_2013_04_060_fig2,physc_2013_04_060_fig2,1,,,,,,,
trace,pixel,physc_2013_04_060_fig3,physc_2013_04_060_fig3,1,,,,,,,
trace,pixel,s10854_fig9a,s10854_fig9a,3,0.23796,0.19181,0.16356,3.0,7.0,0.0,
trace,pixel,s10854_fig9b,s10854_fig9b,3,0.10999,0.08753,0.07868,3.0,8.0,0.0,
trace,pixel,s10854_fig9c,s10854_fig9c,3,0.11303,0.08943,0.06859,3.0,8.0,0.0,
trace,pixel,s10854_fig9d,s10854_fig9d,3,0.06851,0.0585,0.0463,3.0,9.0,0.0,
