file,route,verdict,tier,n_points,n_series,round_fraction,signatures,detail
2207.06629v1_BETA_T_LONG.csv,named,CHECK,,136,8,0.8824,,
2308.10492v1_BETA_T_LONG.csv,named,CHECK,,80,5,0.8625,,
1009.4896v1_BETA_T_LONG.csv,named,CHECK,,66,6,0.8485,,
0806.2839v1_BETA_T_LONG.csv,named,CHECK,,44,4,0.8409,,
0903.0004v2_BETA_T_LONG.csv,named,CHECK,,45,3,0.8222,,
1104.0477v2_BETA_T_LONG.csv,named,CHECK,,95,5,0.8000,,
2510.10264v1_BETA_T_LONG.csv,named,CHECK,,52,4,0.7885,,
1002.0208v2_BETA_T_LONG.csv,named,CHECK,,119,7,0.7479,,
1611.08455v1_BETA_T_LONG.csv,named,CHECK,,75,5,0.7333,,
1111.3923v1_BETA_T_LONG.csv,named,CHECK,,54,6,0.7222,,
0907.0147v2_BETA_T_LONG.csv,named,CHECK,,70,5,0.6857,,
1109.5479v1_BETA_T_LONG.csv,named,CHECK,,57,3,0.6316,,
2012.13723v3_BETA_T_LONG.csv,named,CHECK,,56,7,0.6250,,
2403.19981v1_BETA_T_LONG.csv,named,CHECK,,78,6,0.5897,,
1108.0407v1_BETA_T_LONG.csv,named,CHECK,,88,8,0.5682,,
2305.10034v1_BETA_T_LONG.csv,named,CHECK,,39,3,0.5385,,
1903.00866v2_BETA_T_LONG.csv,named,CHECK,,231,7,0.5281,non_monotonic,non_monotonic: unspecified/2 K/T=2.0 11 rises with field | non_monotonic: unspecified/5 K/T=5.0 12 rises with field | non_monotonic: unspecified/10 K/T=10.0 12 rises with field | non_monotonic: unspecified/15 K/T=15.0 12 rises with field | non_monotonic: unspecified/20 K/T=20.0 12 rises with field | non_monotonic: unspecified/25 K/T=25.0 12 rises with field | non_monotonic: unspecified/30 K/T=30.0 13 rises with field
2511.19058v1_BETA_T_LONG.csv,named,PASS,,133,7,0.4361,,
1502.05345v1_BETA_T_LONG.csv,named,PASS,,128,7,0.3906,,
