cohort,arxiv_id,compound_formula,sample_form,sample_identifier,Tc_K_anchor,Hc2_T_used,Hc2_T_default,Hc2_source,n_pts,n_distinct,H_axis_range_normalized,fixed_axis,fixed_axis_value,beta,SE_beta,log_Jc_partial,SE_log_Jc_partial,rms,ok,physicality
B,elsevier_10.1016_j.cjph.2024.09.042,FeSeTe,single_crystal,H_x-FeSe 1#,14.0,47.0,47.0,Tier_3_literature_default,6,6,0.09574468085106383,T,4.5,20.994529460046834,3.2378540091865786,6.183913116403709,0.09499324247799615,0.1011740717762216,True,H_axis_applicability_bound
B,elsevier_10.1016_j.cjph.2024.09.042,FeSeTe,single_crystal,H_x-FeSe 1#,14.0,47.0,47.0,Tier_3_literature_default,6,6,0.09574468085106383,T,16.0,27.847166458232554,2.915913079248278,5.980239752868535,0.08554803193561318,0.09111429421536667,True,H_axis_applicability_bound
B,elsevier_10.1016_j.cjph.2024.09.042,FeSeTe,single_crystal,H_x-FeSe 1#,14.0,47.0,47.0,Tier_3_literature_default,6,6,0.09574468085106383,T,30.0,29.999999999999996,5.785449471395232,5.840639011973413,0.16973545188587727,0.18077944103754712,True,H_axis_applicability_bound
B,elsevier_10.1016_j.cjph.2024.09.042,FeSeTe,single_crystal,H_x-FeSe 2#,14.0,47.0,47.0,Tier_3_literature_default,6,6,0.08085106382978723,T,12.0,29.999999997385192,4.203730612684889,5.869711402609109,0.09051330265980288,0.11110268115775455,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N1,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.99999999999582,28.639383557641914,3.688983107625284,0.11279914158795562,0.14011349001361104,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N1,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,29.99999999999843,31.841562050301825,3.6039217629925844,0.1254112428559294,0.1557796133423171,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N2,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.999999999970512,24.337731615684127,3.6688402013107226,0.09585664254291301,0.1190683629548788,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N2,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,29.999999999999996,35.320456361676946,3.572933871028417,0.13911323005000492,0.17279954366928832,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N3,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.9999999997611,21.094404392912423,3.6350773797113347,0.08308246939186695,0.10320091608468838,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N3,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,29.999999999999634,36.759965970113754,3.5268793405347547,0.1447828773582497,0.17984209095528278,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N4,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,10.0,29.999999999833648,20.19905452359546,3.7959522757630757,0.07955603837264565,0.09882055718859609,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jallcom.2013.04.183,Bi2Sr2-xNixCa2Cu3O,bulk,N4,110.0,100.0,100.0,Tier_3_literature_default,7,7,0.015,T,25.0,29.99999999999787,29.39822756996729,3.7083120050128904,0.11578791143802418,0.14382599154545153,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_10K,39.0,5.0,15.5,Tier_1_direct_match_at_10.0K_term_H_irr_Birr,58,57,0.9375000000000002,T,10.0,1.7913601054743344,0.08424583892162583,5.48501191031671,0.03681569969398513,0.19525654452718116,True,ok
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_15K,39.0,4.0,15.5,Tier_1_direct_match_at_15.0K_term_H_irr_Birr,51,51,0.9209280303030303,T,15.0,1.7765614999947452,0.07296952320784685,5.503791135239047,0.029053620199161766,0.14818674313732927,True,ok
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_20K,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,21,21,0.9217171717171717,T,20.0,1.4734698228805703,0.10165881225481421,5.443860417495315,0.042973586809767574,0.13772624063355954,True,ok
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_25K,39.0,2.5,15.5,Tier_1_linear_interp_20.0K_to_30.0K,17,17,0.8863636363636364,T,25.0,1.9289744645699534,0.11087474411113367,5.338596491448894,0.041430950644350574,0.11759079958981727,True,ok
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_30K,39.0,2.0,15.5,Tier_1_direct_match_at_30.0K_term_H_irr_Birr,13,13,0.7907196969696971,T,30.0,3.185977073396232,0.08923268111040134,5.1863788403346,0.02728552252192617,0.06219906822723432,True,ok
B,elsevier_10.1016_j.jallcom.2023.170146,MgB2,bulk,MgB2_35K,39.0,1.5,15.5,Tier_1_direct_match_at_35.0K_term_H_irr_Birr,17,17,0.9280303030302971,T,35.0,1.2332200169685257,0.7408706510074851,3.758231361108494,0.35773988651997496,0.9781424086856998,True,ok
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,unknown,LaFeAsO_2K,26.0,9.2,86.0,Tier_1_direct_match_at_2.0K_term_both_Hc2_and_H_irr,13,13,0.6512817462677691,T,2.0,3.1626650680656425,0.18926803332459233,6.324598106936781,0.045169237968839496,0.08824283524247603,True,ok
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,unknown,LaFeAsO_5K,26.0,8.0,86.0,Tier_1_direct_match_at_5.0K_term_both_Hc2_and_H_irr,7,7,0.3744870041039671,T,5.0,10.692565346999297,1.3416066726189408,6.222245789063345,0.15684978996826404,0.20343887736232158,True,ok
B,elsevier_10.1016_j.jallcom.2023.170384,LaFeAsO,unknown,LaFeAsO_8K,26.0,5.75,86.0,Tier_1_linear_interp_7.0K_to_9.0K,4,4,0.25979896508654027,T,8.0,19.177838830723264,0.8212478222945723,5.946760813833423,0.06562330473883925,0.05659556193633098,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co0,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.999999971245956,131.9744336375446,6.138417126459371,0.2237556556959613,0.19645858281699233,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co0,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.025,T,20.0,29.99999900817464,15.942133148778616,6.257064583606886,0.16901742036466796,0.12097052911456269,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co0,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.025,T,50.0,29.999997562355304,6.323254101544617,6.674775503394321,0.1502595179139861,0.04950085272546045,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co1,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.999998288737594,69.76538118875513,6.321397414672149,0.11828349998546898,0.10385355456191288,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co2,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.9999998885131,109.24805824308646,6.361741803281722,0.18522426319662003,0.16262787351614735,True,H_axis_applicability_bound
B,elsevier_10.1016_j.jpcs.2026.113652,Bi1.6Pb0.4Sr2Ca2Cu3O10,bulk,Co3,110.0,100.0,100.0,Tier_3_literature_default,6,6,0.005,T,5.0,29.999999411239294,82.46955393353959,6.462085134438504,0.13982274485803736,0.12276512838979663,True,H_axis_applicability_bound
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X01,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.776516435926349,0.3674610005062925,4.819420388647993,0.09798766974209545,0.10723892693077822,True,ok
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X02,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.6097710961162806,0.15919765283717704,5.0351081384580825,0.042451871603719445,0.046459857071857416,True,ok
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X03,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.518592769878972,0.17401003478418914,5.144504844737414,0.04640176285142746,0.05078266726933022,True,ok
B,elsevier_10.1016_j.matchemphys.2023.128348,MgB2,bulk,X04,39.0,3.0,15.5,Tier_1_direct_match_at_20.0K_term_H_irr_Birr,5,5,0.6666666666666666,T,20.0,2.336583465626456,0.11878555414948558,5.155627541325739,0.03167552444278781,0.03466608890299502,True,ok
