scope,inputs,T,H_0.1,H_1,H_5
iron_pnictide_122,as printed (sd beta_T 1.158),4.2,0.28561551085016634,0.2857284332128424,0.28870006659753816
iron_pnictide_122,"deposit, exponent as deposited",4.2,0.2859134449721699,0.2860261884027951,0.28899315465929887
iron_pnictide_122,"deposit, repaired exponent",4.2,0.26984670554502815,0.26996615886048075,0.27310765261629805
conventional_AlB2,deposit,4.2,0.4595795215486195,0.46038177225275023,0.4864311542634829
conventional_AlB2,deposit,20.0,0.5501297029563444,0.5508000814002854,0.5727517972787881
iron_pnictide_122,"printed, rho 0.0",4.2,,,0.28870006659753816
iron_pnictide_122,"printed, rho 0.2",4.2,,,0.26341279237380255
iron_pnictide_122,"printed, rho 0.4",4.2,,,0.23542487107122956
iron_pnictide_122,"printed, rho 0.8",4.2,,,0.16583730395899215
