null,partitions,observed,null_median,null_p95,null_max,hits,p,floor
"three blocks, any sizes",966,0.5239901961407548,0.13722406197234893,0.384409269466774,0.5494745299269704,4,0.004140786749482402,0.0010351966873706005
compound counts only,280,0.5239901961407548,0.10557195944485143,0.4097168714285465,0.5317166309114391,2,0.007142857142857143,0.0035714285714285713
compound and paper counts,30,0.5239901961407548,0.10559753504799788,0.4489655694175043,0.5239901961407548,1,0.03333333333333333,0.03333333333333333
"three blocks, per compound",966,0.8326459932013056,0.23939488052307142,0.6985782624440091,0.8966166343276996,8,0.008281573498964804,0.0010351966873706005
