cohort,families_all,families_scored,unconditioned_all,unconditioned_scored,stage2_pooled_forms_abs,stage2_pooled_flat_abs,stage2_nearest_family_abs,stage2_nearest_no_form_abs
"all fits, every family with a descriptor",7,7,12.294792575142859,12.294792575142859,15.280015433928572,14.881206848785714,11.542700896042858,11.542700898514285
physicality == ok only,4,3,1.228416150675,1.1908000361333333,0.6179754118666667,0.5479142600666665,0.9563990584666667,0.9563990584666667
"all fits, cuprates removed from cohort and pools",4,3,1.7954398792000001,2.0657955989666665,1.0420884199666667,0.9803780895666666,0.8095601985666666,0.8095601985666666
