sd_reduction,var_reduction
43.087046259507865,67.60915696532602
47.2562695464682,72.18098897845182
55.097831530674235,79.83795266752287
57.66062190607462,82.07377062619632
53.20797513515891,78.10506409048095
39.846661449418555,63.81575861219132
43.650383551716246,68.24720726131308
53.83312556673516,78.68619705063158
37.74383348629124,61.24169731017367
45.03172656523367,69.78488915600762
42.479259425448255,66.91364403755117
43.68548021049436,68.28674860877378
42.79232110042289,67.27281474922879
48.99080931758836,73.98062465925369
42.16172566200959,66.54734021603359
44.698023783021,69.4169142649669
44.07635352055554,68.7254576444212
50.591145611318986,75.58765107998117
48.82360798994655,73.80976900833338
40.34198987902254,64.40921828405351
52.08364385150388,77.04022813450477
54.17723602274956,79.002743014852
38.52004857571772,62.20215572867892
52.1537673870136,77.10738024743998
54.888060361380106,79.64912902041516
51.41629367160001,76.39623479395787
50.80543437372771,75.79894712842388
41.35792705782121,65.61107281044183
37.06945895367488,60.39747003616789
52.73529957165529,77.66048093418831
36.94932556847813,60.246124537302336
36.660075800357795,59.880540023835806
48.231249090211435,73.19996429240265
51.5019229189192,76.47936519437545
50.68002228007331,75.67539797705936
48.51239558237314,73.49026591333971
47.33911237722366,72.26830914781321
50.06827734159326,75.0682307236395
46.09989330892357,70.94778498690577
48.751609947309895,73.73602517007333
50.00000836993201,75.00000836993132
50.663051315930595,75.65865494545503
52.98934352393976,77.89998177689854
54.117087489330416,78.94758339538241
37.62193774718725,61.08977349584217
48.40457134025505,73.37911741417169
42.62636743380433,67.08266286159173
48.84157192272907,73.82815236662697
55.52429934242975,80.21912051018205
43.83111746628864,68.45056634914135
50.664503781029026,75.660088128279
52.826484055384704,77.74659393423127
40.29511833711557,64.35327105620966
49.56891861069338,74.56706029905132
43.09545369382022,67.61872609687842
55.516275364771026,80.21198242577124
49.54326367757468,74.54117759689245
50.65330540222928,75.64903732274347
38.83084810330345,62.58334856238865
49.626998767964906,74.62560746877391
47.61441617956515,72.55750607792194
54.54919784664342,79.34224583616437
46.79214158594303,71.68923802989666
41.966118582490665,66.32068607618464
51.839725734144636,76.8058798263759
38.61133594321079,62.31431925322677
40.277109277594356,64.33176323759594
50.3389495314937,75.33780066364469
51.88092215691979,76.84554347531586
50.84195171653525,75.83486288960547
51.1962902923649,76.18197918772883
46.22438866561935,71.08183625613631
53.243512578756345,78.13830884027084
43.72191286548116,68.32776908479505
38.86511878933463,62.62526299357833
54.16484247729143,78.99138334868492
43.92982132009011,68.5613506280298
45.42674807040513,70.2176017382897
50.823164815814636,75.81638881267467
40.121267919349854,64.14537444413719
37.549194713207655,60.99896919031149
43.69408989915904,68.29644487716016
42.48377774405518,66.91884177404759
50.767466936901286,75.76157688190891
47.035703594475834,71.9478330626778
41.609923338431976,65.9059894745621
53.525321625879904,78.40104270022094
38.65407022536249,62.36676900085243
50.98242387043488,75.97277230382288
49.246354818233506,74.2406750076335
54.16484247729143,78.99138334868492
46.58009865880744,71.46314140697253
42.507165765947754,66.9457401173579
38.4406591154578,62.104475498607314
43.31669168997191,67.870025590303
38.379264564237545,62.02884964355769
39.47221133043097,63.363867987719914
43.39992146008037,67.9643110927493
50.94120984151752,75.93235108185982
44.26015331160219,68.93069491153906
49.825598450835706,74.8252942918322
55.20880193875022,79.93748576237894
44.99681679160145,69.74649836943343
51.15284841920299,76.1395578244264
42.6262061169125,67.08247775460991
37.88941223691176,61.42274887723713
42.51737151847487,66.95747422854956
51.345605696315545,76.32749914941597
37.829376088192156,61.34813522416547
38.261673712395314,61.883790672052605
46.801850874023486,71.69956929570364
46.04284402189281,70.88625318754211
51.49798010997648,76.47554066587765
44.412604122461886,69.10041419553859
39.1640810299125,62.98990963064948
43.498158594408785,68.07541917777418
50.00485723342734,75.00485699750017
50.114183390058756,75.1140530115931
43.29721475497029,67.84794145456041
49.97265053777081,74.97264305783997
46.573005736556816,71.45556283974008
39.68225200746627,63.617692771091924
35.304724253323826,58.145212960615346
44.691329049339366,69.40950917671549
40.22179230088182,64.26565884281088
50.970283106800586,75.96086861372716
43.67799258883157,68.27831481176288
48.405602190464705,73.38018114671418
46.22685698584304,71.08449090379023
51.206033921948645,76.19148874373974
45.92741001843812,70.76155012685894
50.790072657532384,75.78383050949058
51.1600653972338,76.1466078799752
45.33345491396879,70.11568848356917
42.55334216013248,66.99881503029188
44.17767970494618,68.83868556876422
50.04429291418961,75.04427329556714
51.17944952223618,76.16553851048114
50.50585263332168,75.5032937644553
41.44065672915468,65.70803315687303
48.317319204924736,73.28900505834359
43.468191218920396,68.04154595939451
50.470667524886814,75.46845224569698
55.79761966779746,80.46149572967315
50.39749595559471,75.39591592524756
51.23007686752157,76.21494597652145
46.92471289553152,71.8301389877824
47.173874472736344,72.09400461777783
54.45300157385557,79.25470934368796
56.11081202617021,80.73739178997835
43.149127639751285,67.67978311878709
48.89303340203431,73.8807796515442
54.16484247729143,78.99138334868492
44.315298536574566,68.99214022929185
50.9117436687035,75.90343090352928
52.04780563148566,77.00587055244222
43.10757839672825,67.63252364115579
40.12775494359092,64.153142719053
44.73917943843575,69.46241710862597
45.56407118619036,70.36729654177849
39.38505078880422,63.25827932124156
50.82796855731313,75.82111323799414
50.955822806617256,75.94668683424075
44.91255148369741,69.65373015963712
43.02636693509123,67.54005135385135
43.91279697942472,68.5422565732877
42.50729478413635,66.94588846961804
46.22340351992672,71.0807767101937
51.48818249321208,76.46603562188105
51.488242673339535,76.46609401079203
50.349883385161775,75.34865920132965
50.829278795867694,75.82240176265495
43.08484633733519,67.60665283555252
47.99958903536411,72.95957259508977
44.54046761272147,69.24240267384403
48.05808849526525,73.02037829234304
45.866915772574814,70.6960919202649
55.730316131549195,80.40195090187427
37.85752226419983,61.383124608555796
43.51387708842363,68.09317918418287
50.79316939394,75.78687821706517
50.814430567668964,75.80779759617342
40.10300985544429,64.12350571622997
45.69737207662307,70.51224600615284
43.035937857344564,67.5509562420769
43.82714121365245,68.44609935769057
50.452517952623644,75.45047022764918
42.46530248634509,66.89758582012232
43.46107185219532,68.0334960389738
49.93062633641525,74.93057820936326
42.970946443141386,67.47687050408953
48.15998550893171,73.1261289756583
44.29336746469862,68.967710915769
50.82890042665782,75.82202966748468
50.9353589389006,75.9266099754548
51.124926591161525,76.1122719928065
43.88265401346101,68.50843479427076
51.18417956881156,76.17015675629966
37.59127879628941,61.05151517717524
44.889733621981755,69.62858539743871
42.74084030326851,67.21388630824201
43.457821331673166,68.02982031439005
51.158188463188594,76.14477445802596
41.57716691841182,65.86772574720887
50.85045648411997,75.84322372180615
46.22340351992672,71.0807767101937
39.924742477724465,63.90963433632276
45.360816089881006,70.14559581636193
40.85417714588989,65.01771638910226
43.0864861584888,67.60851942212113
50.92750770078158,75.91890499543149
43.96934095688268,68.60565247193937
50.31833671806466,75.31732333540397
45.59358373268459,70.39941868947598
43.90862139368363,68.53757246042875
50.19009687110375,75.18973550289971
45.185658979879676,69.95388018529954
50.8683082785967,75.8607686859299
46.194067638268486,71.04921642684774
45.175436887909996,69.9426727956846
47.83019241854735,72.78311176914205
40.648407738764156,64.7738849605601
37.76386759243885,61.26663822948517
43.853387808347435,68.47557939400171
39.67105127116779,63.60417945273935
50.82890042665782,75.82202966748468
43.38151502978903,67.94347159677994
47.362518989466004,72.29295592865674
52.0976370001877,77.05363619034213
50.9353589389006,75.9266099754548
43.50461660851447,68.0827165544906
40.37221562612865,64.44527330663104
44.192987270216456,68.85577330177777
48.04371890871675,73.00544855163562
54.146028933892644,78.97413337468589
44.88309262774024,69.62126521717738
43.81539961140771,68.43290679174196
50.433214004519634,75.43133726078251
54.25487880768743,79.07383887100636
51.33707185887096,76.31919424731312
51.491941839025024,76.4696829345147
41.21830763397087,65.44712642585513
45.85632489207108,70.68462445807037
44.28270694466534,68.95583254585955
52.91301635017967,77.82815970761551
50.78619692729245,75.78001587120761
55.72708839025482,80.3990929759569
43.40833791575379,67.9738378254249
43.96848763535591,68.60469622130736
49.28384302375798,74.27871421561179
43.46471249250327,68.03761266444684
52.417441043561816,77.35900083157084
52.56697676930202,77.50108307196066
56.82026053039066,81.35510099336662
41.00645133562815,65.1976121598439
43.8409389433603,68.46159861236613
53.75164672867348,78.61089819690581
43.6045341622724,68.19551432945698
50.85088946432006,75.84364933551515
50.93529807290616,75.92655024805433
51.49216023388885,76.46989481225286
37.36919072628997,60.773817297201575
41.94723742771909,66.2987675772638
54.56805404788467,79.35938287004072
39.38077792809942,63.25309915397601
50.32711595311859,75.32604590465075
39.53117444916374,63.435211365025324
39.23228032801433,63.07284245866966
43.44720004137387,68.01780816839616
49.21513136877659,74.2089711810938
50.62438313102013,75.6204845880771
52.38579872175395,77.32887836634673
54.16837901740935,78.99462518108157
42.72610522429521,67.19700977221495
50.820903131375,75.81416431186399
51.225460473023475,76.21044293931405
44.750562787709484,69.47499687725167
51.41804163170627,76.39793321101374
50.52120032755166,75.51848382973726
43.16392935768326,67.69661073941582
45.70688230451373,70.52257370904076
43.24254956532526,67.7859182015544
43.34166384819355,67.89832944508902
50.56681948713915,75.56360664382913
40.75126504491884,64.89587406222543
42.41031951950187,66.83428702154133
41.0175802149535,65.21074156300554
42.08755420442203,66.46148621974244
42.19422295226277,66.58492139907295
50.38133758554133,75.37988340199986
39.724763682128085,63.668958868246946
51.50012162754922,76.47761797857481
50.94120984151752,75.93235108185982
50.82233721652432,75.81557483154751
51.97066728458422,76.93183198911893
45.717486855620784,70.53408766730298
47.01143044379846,71.92211496387591
49.82470802396094,74.8244007511923
49.7293346574793,74.72860206020287
51.08292621440312,76.07119892254471
43.30249844612132,67.85393317547924
49.428237342778004,74.42496821741607
51.297319224116734,76.2804888524241
44.192220808166894,68.85491781675599
42.526556672857495,66.9680331212174
43.4705834058842,68.04425059528904
46.82304895396191,71.72211877447269
45.87680618863206,70.70679891657103
53.199800308510504,78.09741308836706
51.7108178207236,76.68154884456655
45.27093249972963,70.0472917055085
51.454175656621324,76.43302938821823
50.46777803505085,75.46558987215009
41.15098927863401,65.3679393711655
51.539915610969146,76.51620221008008
43.39262026315976,67.95604559329169
51.11448444852085,76.1020636926609
55.63272643329529,80.31545036257187
44.80742087464233,69.53779209491134
42.88790977660556,67.38209150314853
50.94493687142241,75.93600781451268
49.909692326488134,74.90961077172918
41.909412566340386,66.25483651612348
49.828826558771034,74.82853355530122
35.49142885691893,58.386442490780475
50.96995053900005,75.96054249851899
42.68431627571405,67.14912399217623
47.65410942842547,72.59907740268746
48.900171369837494,73.88807513968025
43.91148176020678,68.54078121664384
51.528213190244145,76.50485883469578
48.28077618172374,73.25121887635045
43.791047187216606,68.40553623690289
51.232264673836724,76.21707991157287
43.545120008776614,68.12846525176566
49.439305459968885,74.43616167629668
45.210174807505496,69.98075055375894
38.762755048330014,62.49999830729168
49.335052552912096,74.33063100183821
42.75607760446645,67.23133348774132
50.1861730506874,75.18582644663938
50.779798734405745,75.77371787374393
46.217189589100236,71.07409304305212
44.80765043038486,69.53804548985403
50.58085744470397,75.57748349099329
42.93307456375728,67.43366021254313
47.67843259476845,72.62453584259812
51.21180080612007,76.19711619418294
39.80722330703692,63.76829633991081
51.139943843676015,76.12694912400868
50.63940405333784,75.6353156779036
51.48623820529643,76.4641491652676
37.2677920152514,60.646700813582434
46.480960134754945,71.35712371902311
42.323859825866464,66.73462854613699
52.09305361305228,77.04924487878115
43.464782625946675,68.0376919646854
54.721291549998675,79.49838561099779
52.426348833641725,77.36747714701659
49.74632414889566,74.74568063452132
46.87446140693822,71.77677149197103
53.1141079736523,78.01713128893665
44.742252542436475,69.46581345916132
45.07495212617617,69.8323911605816
43.946131713304126,68.5796385009775
43.67284290677025,68.27251373794617
43.74914376543336,68.35841172878115
50.86306178140557,75.85561302502035
43.252221264203506,67.79689608553083
53.09142415454513,77.99585512151208
50.45633711147581,75.45425467588271
43.54040515775102,68.12314150249092
52.00120946274461,76.96116106960682
37.74906837624478,61.24821511974552
57.31018168567628,81.77579412290031
50.83232464834466,75.82539700514224
51.251163723579054,76.23550961694706
51.557894489750744,76.53362413733879
40.78815532582528,64.93957450281407
46.22340351992672,71.0807767101937
45.60508074567483,70.41192759315445
47.838154852237466,72.79141910780842
47.9904116915628,72.95002723986872
44.08728100417139,68.73767854493506
50.9353589389006,75.9266099754548
42.06209021240754,66.43198609444798
38.43614709318985,62.09892015268643
45.18510414726998,69.95327192654361
50.98211917043548,75.97247358978612
50.522360655602625,75.5196320490574
50.040284246521516,75.04026801831634
48.949020984044324,73.93797541512453
37.603562164235086,61.066845454075235
45.811778692584994,70.63636671538613
51.20323884069866,76.18876100362101
43.630751407596904,68.22507813127862
48.02196253847797,72.98283621648612
51.489068704142625,76.46689544808606
42.193308661829185,66.58386436533448
51.1758807814972,76.16205382537426
