scope,substructure,n_physical_samples,n_sample_forms,total_var,between_sf_var,within_sf_var,ratio_between_total,note,note.1,regime,n_anchor_records,log_jc_anchor_iqr_substructure_only,log_jc_anchor_iqr_sample_form_conditional_avg,precision_improvement_factor
per_substructure,conventional_AlB2,15,2,0.0820905197253224,0.0095131057455619,0.0725774139797605,0.1158855587392197,,,Regime_C_sample_form_minor,22,0.04866805796654283,0.43932011187325715,0.11078040055808658
per_substructure,cuprate_BSCCO,9,2,1.6944702525844355,0.1633905600711699,1.5310796925132657,0.0964257471159283,,,Regime_C_sample_form_minor,9,0.6505149978319906,0.8858882311070773,0.7343082061481443
per_substructure,cuprate_LSCO,5,1,0.0091519525891713,,,,,,Regime_unknown,5,0.0,0.129148881504118,0.0
per_substructure,cuprate_RBCO,3,1,0.0008605679645531,,,,,,Regime_unknown,3,0.0,0.03960284226413646,0.0
per_substructure,iron_chalcogenide_11,12,3,0.3587437266730906,0.134049579734793,0.2246941469382975,0.3736638992350862,,,Regime_B_sample_form_moderate,23,0.5752574989159953,0.5136018779625519,1.1200455520101096
per_substructure,iron_pnictide_1111,6,3,0.7675766260769454,0.109956014482632,0.6576206115943134,0.143250863493086,,,Regime_C_sample_form_minor,23,0.6432999602614293,0.9439569947626524,0.6814928686694885
per_substructure,iron_pnictide_122,10,3,0.1664758629272174,0.0811866081003795,0.0852892548268379,0.4876779532650566,,,Regime_B_sample_form_moderate,11,0.4288098236022444,0.2708682292837314,1.5830938339877099
