held_out_substructure,held_out_max_chi,held_out_beta_H_actual,predicted_beta_H_via_train_regression,magnitude_residual_dex_beta_H,actual_rank_in_full_cohort,predicted_rank_via_train,rank_position_error,training_spearman_rho_max_chi_beta_H
conventional_AlB2,2.04,2.21357423692115,4.191481623268457,1.9779073863473067,2,3,1,0.33394720739540396
cuprate_BSCCO,3.44,29.99999999445604,9.998000069204679,20.00199992525136,6,5,1,0.4058397249567139
cuprate_LSCO,3.44,5.49680351131837,16.311545136593892,10.814741625275524,4,4,0,0.4058397249567139
cuprate_RBCO,3.44,29.99999999189082,9.998000069865634,20.001999922025185,5,5,0,0.4058397249567139
iron_chalcogenide_11,2.55,2.259212424417873,8.49076658687426,6.231554162456387,3,4,1,0.33394720739540396
iron_pnictide_1111,3.906363636363636,1.4992151713139563,27.212257576486834,25.713042405172878,1,4,3,0.9411239481143202
iron_pnictide_122,1.7410526315789472,0.5905290818691102,1.9128316812382558,1.3223025993691455,0,1,1,0.030358837035945815
