substructure,n_compounds,n_fits,compound_loo_mae,compound_loo_median_residual,substructure_median_loo_mae,substructure_median_loo_median_residual
conventional_AlB2,7,20,0.7531793918356584,0.5560610162687745,0.7505669556577063,0.5560610162687745
iron_chalcogenide_11,3,21,1.0934874826615542,1.1230085522533182,1.0942985472757158,1.1503742803146952
iron_pnictide_1111,4,17,2.5713216112927606,1.2493151713139563,2.622201453544711,1.4050413910278186
iron_pnictide_122,5,36,0.9728593350331054,0.8665239049136337,0.9294854327723056,0.7105228854104846
