scope,substructure,n_papers,n_sample_forms,total_var,between_sf_var,within_sf_var,ratio_between_total,note
aggregate_all,ALL,36,5,0.3799690010229957,0.1607153082312636,0.2192536927917321,0.4229695259312407,
per_substructure,conventional_AlB2,13,2,0.02361338824477676,0.001042734839972507,0.022570653404804252,0.044158628535790834,
per_substructure,cuprate_BSCCO,4,1,0.00300203279348784,,,,single sample_form; no decomposition
per_substructure,cuprate_RBCO,3,1,0.0008605679645531265,,,,single sample_form; no decomposition
per_substructure,iron_chalcogenide_11,5,2,0.33708007231905746,0.27270156188445455,0.06437851043460291,0.809011223975096,
per_substructure,iron_pnictide_1111,6,3,0.7675766260769454,0.10995601448263204,0.6576206115943134,0.14325086349308602,
per_substructure,iron_pnictide_122,5,2,0.2269180841981918,0.08493372671624064,0.14198435748195115,0.3742924545496292,
