mp_formula,family,n_total,Tc_K,Hc2_T_lit,form3_status,form3_log_Jc_0,form3_beta_T,form3_beta_H,form3_train_MAE,form3_holdout_MAE,form3_train_R2,form3_holdout_R2,form3_n_train,form3_n_holdout
Ba(FeAs)2,iron_based,1043,30.0,60.0,ok,5.585790315611621,-0.1621426678104912,11.991975151922713,0.9490470538484223,0.8982497152678269,0.20329968413264177,0.2759212331964146,821.0,205.0
BaCa2Cu3O5,cuprate_like,195,110.0,100.0,ok,7.426961891729639,1.5433943033778899,61.51351918154812,0.06938606089451788,0.07622455470485222,0.982383943341267,0.9801506886435513,156.0,39.0
BaFeAs2Ru,iron_based,170,18.0,30.0,ok,5.188937766916656,0.5219735258903088,2.9246638397911306,0.08928323056736755,0.07628249388341984,0.8870927789054867,0.9056353066305951,136.0,34.0
CeIn5Co,heavy_fermion,84,2.3,11.5,ok,4.582349747053127,0.2697867999354779,0.23318753848190363,0.014585172701849228,0.015564751294083499,0.9531422089342537,0.8874175870171717,35.0,9.0
Fe2TeSe,iron_based,579,14.0,50.0,ok,4.5577524571953125,0.4578379216039048,1.3225501690419277,0.8620537026699764,0.9638619315331309,0.02025163322081669,-0.016702746179320105,413.0,103.0
Fe9Se8,iron_based,88,4.5,8.0,ok,5.084019604100264,0.13056912082486805,3408.390951246712,0.0463709929969843,0.036003296126110466,0.9618838679614214,0.9723784749450145,44.0,11.0
FeSe,iron_based,398,8.5,17.5,ok,4.189200442593749,-0.02381362220478067,-0.29849907638770046,1.1531796127484097,1.2260589027358788,0.0008342511072427783,0.0015606960452653196,235.0,59.0
Ga41Mo8,conventional,63,6.0,8.0,ok,5.487499246247047,0.3465570981579273,0.4497760267587904,0.026297038613379783,0.043432972115765175,0.9478612245091127,0.8199363409578173,38.0,10.0
HfRe2,conventional,128,5.6,10.0,ok,5.099566152425349,0.2847281914395429,2871687.6189590828,0.0739263749376961,0.0805953307190452,0.9458746957976631,0.9011119660676413,102.0,26.0
K(FeAs)2,iron_based,309,32.0,10.0,ok,5.849640596528008,0.7988147777985315,11.572170293256526,1.275658527273663,1.2970622345328617,0.39955276268662887,0.30671335190284854,247.0,62.0
KBa(FeAs)4,iron_based,68,33.0,50.0,ok,7.482244267786136,0.6627665960333636,7.764262274923025,0.17253098145203352,0.259791948498704,0.7125965827008005,0.7181451095342215,54.0,14.0
KBa2Bi2O7,cuprate_like,55,31.0,25.0,ok,5.124077590682647,0.61792551771365,2.1310283858843637,0.03916797922365918,0.039940623110382406,0.9354315740684851,0.8294150725796803,44.0,11.0
La2FeAs2O,iron_based,39,12.0,10.0,ok,6.093862668940397,1.7441588178933416,1.5708431326758416,0.02314304164784677,0.021824336945887812,0.9927817261550043,0.9932903927400503,31.0,8.0
Li2BPd3,conventional,84,8.0,4.0,ok,4.733157787878674,0.6528796218911381,2.6881689894703396,0.1763103855300856,0.22536445581726305,0.928703420759092,0.9214346559491087,61.0,15.0
LiFeAs,iron_based,96,18.0,17.0,ok,3.3222931865902345,1.0011310772534714,2.9289577390558623,0.5072414224197435,0.49392727863244607,0.1725939868755907,0.008636412250506154,77.0,19.0
MgB2,conventional,2055,39.0,16.0,ok,5.680486015482275,1.3331839656193403,5.199833491419739,0.5008937415258976,0.5347135631775138,0.42905951703524003,0.41824806659997016,1644.0,411.0
Nb3Sn,conventional,113,18.0,24.0,ok,5.3537306884566815,4.706634446889947,2.116983753493846,1.5516150998558456,1.8681673642434775,0.1981377913252209,0.09838860649123082,74.0,19.0
Nd2FeAs2O,iron_based,158,50.0,70.0,ok,2.65114027223484,1.0622615246044622,14.907530183865507,0.59446555093852,0.5822392571407636,0.19160309494442485,0.25642413382781415,126.0,32.0
Nd4Fe4As4O3F,iron_based,68,37.0,50.0,skipped_insufficient_data,,,,,,,,,
Pr2FeAs2O,iron_based,171,50.0,70.0,ok,5.425019930681799,1.4268712537059474,32.159262833780474,0.38877917379262245,0.42038847195646123,0.40105531371251846,0.4676953594458978,137.0,34.0
ScSiIr,conventional,78,7.0,12.0,ok,4.889279067457966,0.9941536351392289,0.9591069193580933,0.08696123286999237,0.07616232633360114,0.9269244538604691,0.9418234122146301,48.0,12.0
Sm2FeAs2O,iron_based,93,55.0,70.0,ok,3.9384297753173803,-16.45050277420275,25.74419626385418,1.6430667482225638,1.5942664761024332,0.4158222141902703,0.5161405822730214,74.0,19.0
Sr(FeAs)2,iron_based,44,38.0,50.0,skipped_insufficient_data,,,,,,,,,
Sr2Ca2Cu3(BiO5)2,cuprate_like,89,110.0,60.0,ok,9.271097251059679,4.98447382336334,11.71101458447331,1.0050946445035898,0.8792434975437708,0.23056585903083626,0.25290556996514646,71.0,18.0
Sr2VFeAsO3,iron_based,76,37.0,50.0,skipped_insufficient_data,,,,,,,,,
SrLaCuO4,cuprate_like,80,40.0,50.0,ok,8.015639809975996,1.199153678383954,65.67763906500953,0.20024580310425755,0.22141365925046125,0.9085525221735633,0.9010268929769008,64.0,16.0
TiV,conventional,150,5.0,8.0,skipped_insufficient_data,,,,,,,,,
